enfermedad,pregunta
gripe,"¿Ha sentido cancancio corporal en últimos días?"
dengue,"¿Ha sentido dolor intenso en las articulaciones recientemente?"
resfriado,"¿Ha notado congestión nasal persistente?"
covid19,"¿Ha tenido dificultad para respirar?"
alergia,"¿Ha presentado estornudos frecuentes sin fiebre?"
migraña,"¿Siente náuseas o vómitos durante el dolor de cabeza?"
sinusitis,"¿Siente presión en la frente o detrás de los ojos?"
apendicitis,"¿Ha notado un dolor agudo en la parte baja del abdomen?"
asma,"¿Experimenta dificultad al realizar actividades físicas?"
neumonía,"¿Siente una respiración más difícil de lo normal?"
gastroenteritis,"¿Ha tenido episodios frecuentes de diarrea?"
insuficiencia_renal,"¿Siente hinchazón en las piernas o tobillos?"
diabetes,"¿Siente sed excesiva a pesar de beber agua?"
hipertensión,"¿Ha experimentado confusión mental o mareos?"
artritis,"¿Ha notado hinchazón en las articulaciones afectadas?"
cálculos_renales,"¿Siente dolor al orinar o sangre en la orina?"
dermatitis,"¿Ha notado enrojecimiento o inflamación en la piel?"
gripe_aviaria,"¿Ha tenido fiebre alta y dificultad para respirar?"
meningitis,"¿Ha experimentado rigidez en el cuello?"
tuberculosis,"¿Ha notado sudores nocturnos excesivos?"
hepatitis,"¿Ha tenido cambios en el color de su piel o ojos como amarillento?"
viruela,"¿Ha tenido contacto cercano con alguien con erupciones?"
anemia,"¿Vienes alimentandote mal en los ultimos dias?"
esclerosis_multiple,"¿Ha tenido entumecimiento o debilidad en las extremidades, desmayos repentinos?"
fibromialgia,"¿Ha experimentado dolor muscular generalizado sin causa aparente?"
celiaquia,"¿Ha tenido molestias digestivas tras consumir alimentos con gluten?"
hipotiroidismo,"¿Ha notado aumento de peso inexplicable o piel seca?"
hipertiroidismo,"¿Ha sentido temblores o palpitaciones inusuales?"
lupus,"¿Ha notado erupciones en forma de mariposa en la cara?"
endometriosis,"¿Suele tener dolor pélvico intenso durante sus períodos?"
sindrome_de_fatiga_cronica,"¿Ha experimentado fatiga profunda que no mejora con el descanso?"
epoc,"¿Ha tenido dificultad para respirar o una tos persistente?"
sindrome_del_intestino_irritable,"¿Ha sentido molestias abdominales recurrentes relacionadas con diarrea o estreñimiento?"
celulitis_bacteriana,"¿Ha notado enrojecimiento y dolor en una zona específica de la piel?"
hemochromatosis,"¿Le han diagnosticado niveles elevados de hierro en sangre?"
sifilis,"¿Ha tenido úlceras indoloras en la zona genital o erupciones cutáneas?"
